"name 1","name 2","uri 1","uri 2"
"account","content","http://xmlns.com/foaf/0.1/account","http://purl.org/ontology/bibo/content"
"account","lccn","http://xmlns.com/foaf/0.1/account","http://purl.org/ontology/bibo/lccn"
"account","court","http://xmlns.com/foaf/0.1/account","http://purl.org/ontology/bibo/court"
"account name","content","http://xmlns.com/foaf/0.1/accountName","http://purl.org/ontology/bibo/content"
"account name","suffix name","http://xmlns.com/foaf/0.1/accountName","http://purl.org/ontology/bibo/suffixName"
"account service homepage","interviewee","http://xmlns.com/foaf/0.1/accountServiceHomepage","http://purl.org/ontology/bibo/interviewee"
"age","date","http://xmlns.com/foaf/0.1/age","http://purl.org/dc/terms/date"
"age","page end","http://xmlns.com/foaf/0.1/age","http://purl.org/ontology/bibo/pageEnd"
"age","pages","http://xmlns.com/foaf/0.1/age","http://purl.org/ontology/bibo/pages"
"age","name","http://xmlns.com/foaf/0.1/age","http://xmlns.com/foaf/0.1/name"
"age","agent","http://xmlns.com/foaf/0.1/age","http://purl.org/NET/c4dm/event.owl#agent"
"age","language","http://xmlns.com/foaf/0.1/age","http://purl.org/dc/terms/language"
"age","homepage","http://xmlns.com/foaf/0.1/age","http://xmlns.com/foaf/0.1/homepage"
"based near","based_near","http://xmlns.com/foaf/0.1/based_near","http://xmlns.com/foaf/0.1/based_near"
"depiction","description","http://xmlns.com/foaf/0.1/depiction","http://purl.org/dc/terms/description"
"depiction","deprecated","http://xmlns.com/foaf/0.1/depiction","http://www.w3.org/2002/07/owl#deprecated"
"depiction","edition","http://xmlns.com/foaf/0.1/depiction","http://prismstandard.org/namespaces/1.2/basic/edition"
"depiction","edition","http://xmlns.com/foaf/0.1/depiction","http://purl.org/ontology/bibo/edition"
"depiction","section","http://xmlns.com/foaf/0.1/depiction","http://purl.org/ontology/bibo/section"
"depiction","relation","http://xmlns.com/foaf/0.1/depiction","http://purl.org/dc/terms/relation"
"depiction","director","http://xmlns.com/foaf/0.1/depiction","http://purl.org/ontology/bibo/director"
"depiction","editor","http://xmlns.com/foaf/0.1/depiction","http://purl.org/ontology/bibo/editor"
"depiction","depiction","http://xmlns.com/foaf/0.1/depiction","http://xmlns.com/foaf/0.1/depiction"
"depicts","deprecated","http://xmlns.com/foaf/0.1/depicts","http://www.w3.org/2002/07/owl#deprecated"
"depicts","director","http://xmlns.com/foaf/0.1/depicts","http://purl.org/ontology/bibo/director"
"depicts","depiction","http://xmlns.com/foaf/0.1/depicts","http://xmlns.com/foaf/0.1/depiction"
"familyName","localityName","http://xmlns.com/foaf/0.1/familyName","http://schemas.talis.com/2005/address/schema#localityName"
"familyName","family_name","http://xmlns.com/foaf/0.1/familyName","http://xmlns.com/foaf/0.1/family_name"
"family_name","prefix name","http://xmlns.com/foaf/0.1/family_name","http://purl.org/ontology/bibo/prefixName"
"family_name","suffix name","http://xmlns.com/foaf/0.1/family_name","http://purl.org/ontology/bibo/suffixName"
"family_name","localityName","http://xmlns.com/foaf/0.1/family_name","http://schemas.talis.com/2005/address/schema#localityName"
"family_name","family_name","http://xmlns.com/foaf/0.1/family_name","http://xmlns.com/foaf/0.1/family_name"
